JournalCode;JournalLib;EcritureNum;EcritureDate;CompteNum;CompteLib;CompAuxNum;CompAuxLib;pieceRef;PieceDate;EcritureLib;Debit;Credit;EcritureLet;DateLet;ValidDate;Montantdevise;Idevise;DateRglt;ModeRglt;NatOp;IdClient;IdOrigine
90;Opérations Diverses;ecriture-piece-3;20190811;6580000;Charges diverses de gestion courante;;;piece-3;20180201;Credit tva 2018/2019 Report;0,44;;;;20190312;;;;;;;IMPORT
90;Opérations Diverses;ecriture-piece-3;20190811;4456700;Crédit de TVA à reporter;;;piece-3;20180201;Credit tva 2018/2019 Report;154;;;;20190312;;;;;;;IMPORT
90;Opérations Diverses;ecriture-piece-4;20190811;1290000;Résultat de l'exercice (perte);;;piece-4;20180201;Attribution Resultat 2017-2018 Perte;;933,39;;;20190312;;;;;;;IMPORT
90;Opérations Diverses;ecriture-piece-4;20190811;1190000;Report à nouveau (solde débiteur);;;piece-4;20180201;Attribution Resultat 2017-2018 Perte;933,39;;;;20190312;;;;;;;IMPORT
XOU;Journal de réouverture;ecriture-piece-1;20190811;1010000;Capital;;;piece-1;20180201;Solde anouveau au 01/02/2018: Report;;10000;;;20190312;;;;;;;IMPORT
XOU;Journal de réouverture;ecriture-piece-1;20190811;1190000;Report à nouveau (solde débiteur);;;piece-1;20180201;Solde anouveau au 01/02/2018: Report;713,26;;;;20190312;;;;;;;IMPORT
XOU;Journal de réouverture;ecriture-piece-1;20190811;1290000;Résultat de l'exercice (perte);;;piece-1;20180201;Solde anouveau au 01/02/2018: Report;933,39;;;;20190312;;;;;;;IMPORT
XOU;Journal de réouverture;ecriture-piece-1;20190811;2755000;Cautionnements;;;piece-1;20180201;Solde anouveau au 01/02/2018: Report;154;;;;20190312;;;;;;;IMPORT
XOU;Journal de réouverture;ecriture-piece-1;20190811;4040000;Fournisseurs d'immobilisations;;;piece-1;20180201;Solde anouveau au 01/02/2018: Report;;154;;;20190312;;;;;;;IMPORT
XOU;Journal de réouverture;ecriture-piece-1;20190811;4040000;Fournisseurs d'immobilisations;;;piece-1;20180201;Solde anouveau au 01/02/2018: Report;154;;;;20190312;;;;;;;IMPORT
XOU;Journal de réouverture;ecriture-piece-1;20190811;4456611;TVA déductible Achats Taux 1/Factures;;;piece-1;20180201;Solde anouveau au 01/02/2018: Report;154,44;;;;20190312;;;;;;;IMPORT
XOU;Journal de réouverture;ecriture-piece-1;20190811;4456700;Crédit de TVA à reporter;;;piece-1;20180201;Solde anouveau au 01/02/2018: Report;418;;;;20190312;;;;;;;IMPORT
XOU;Journal de réouverture;ecriture-piece-1;20190811;5120000;Banques;;;piece-1;20180201;Solde anouveau au 01/02/2018: Report;;33,46;;;20190312;;;;;;;IMPORT
XOU;Journal de réouverture;ecriture-piece-1;20190811;5120000;Banques;;;piece-1;20180201;Solde anouveau au 01/02/2018: Report;;22,5;;;20190312;;;;;;;IMPORT
XOU;Journal de réouverture;ecriture-piece-1;20190811;5120000;Banques;;;piece-1;20180201;Solde anouveau au 01/02/2018: Report;4206,77;;;;20190312;;;;;;;IMPORT
XOU;Journal de réouverture;ecriture-piece-1;20190811;5120000;Banques;;;piece-1;20180201;Solde anouveau au 01/02/2018: Report;134,7;;;;20190312;;;;;;;IMPORT
XOU;Journal de réouverture;ecriture-piece-1;20190811;5120000;Banques;;;piece-1;20180201;Solde anouveau au 01/02/2018: Report;;2964,53;;;20190312;;;;;;;IMPORT
XOU;Journal de réouverture;ecriture-piece-1;20190811;5120000;Banques;;;piece-1;20180201;Solde anouveau au 01/02/2018: Report;;2508,24;;;20190312;;;;;;;IMPORT
XOU;Journal de réouverture;ecriture-piece-1;20190811;5120000;Banques;;;piece-1;20180201;Solde anouveau au 01/02/2018: Report;;154;;;20190312;;;;;;;IMPORT
XOU;Journal de réouverture;ecriture-piece-1;20190811;5120000;Banques;;;piece-1;20180201;Solde anouveau au 01/02/2018: Report;2000;;;;20190312;;;;;;;IMPORT
XOU;Journal de réouverture;ecriture-piece-1;20190811;5120000;Banques;;;piece-1;20180201;Solde anouveau au 01/02/2018: Report;;0,25;;;20190312;;;;;;;IMPORT
XOU;Journal de réouverture;ecriture-piece-1;20190811;5120000;Banques;;;piece-1;20180201;Solde anouveau au 01/02/2018: Report;;191,41;;;20190312;;;;;;;IMPORT
XOU;Journal de réouverture;ecriture-piece-1;20190811;5120000;Banques;;;piece-1;20180201;Solde anouveau au 01/02/2018: Report;;34,71;;;20190312;;;;;;;IMPORT
XOU;Journal de réouverture;ecriture-piece-1;20190811;5120000;Banques;;;piece-1;20180201;Solde anouveau au 01/02/2018: Report;8000;;;;20190312;;;;;;;IMPORT
XOU;Journal de réouverture;ecriture-piece-1;20190811;5120000;Banques;;;piece-1;20180201;Solde anouveau au 01/02/2018: Report;;34,71;;;20190312;;;;;;;IMPORT
XOU;Journal de réouverture;ecriture-piece-1;20190811;5120000;Banques;;;piece-1;20180201;Solde anouveau au 01/02/2018: Report;;193,02;;;20190312;;;;;;;IMPORT
XOU;Journal de réouverture;ecriture-piece-1;20190811;5120000;Banques;;;piece-1;20180201;Solde anouveau au 01/02/2018: Report;;38,15;;;20190312;;;;;;;IMPORT
XOU;Journal de réouverture;ecriture-piece-1;20190811;5120000;Banques;;;piece-1;20180201;Solde anouveau au 01/02/2018: Report;;15,79;;;20190312;;;;;;;IMPORT
XOU;Journal de réouverture;ecriture-piece-1;20190811;5120000;Banques;;;piece-1;20180201;Solde anouveau au 01/02/2018: Report;;45,42;;;20190312;;;;;;;IMPORT
XOU;Journal de réouverture;ecriture-piece-1;20190811;5120000;Banques;;;piece-1;20180201;Solde anouveau au 01/02/2018: Report;;92,89;;;20190312;;;;;;;IMPORT
XOU;Journal de réouverture;ecriture-piece-1;20190811;5120000;Banques;;;piece-1;20180201;Solde anouveau au 01/02/2018: Report;;184,6;;;20190312;;;;;;;IMPORT
XOU;Journal de réouverture;ecriture-piece-1;20190811;5120000;Banques;;;piece-1;20180201;Solde anouveau au 01/02/2018: Report;;200,88;;;20190312;;;;;;;IMPORT
90;Opérations Diverses;ecriture-piece-3;20190811;4456611;TVA déductible Achats Taux 1/Factures;;;piece-3;20180201;Credit tva 2018/2019 Report;;154,44;;;20190312;;;;;;;IMPORT
60;Achats;ecriture-piece-13;20190811;4456611;TVA déductible Achats Taux 1/Factures;;;piece-13;20180203;ABONNEMENT CYBERPLUS: Frais Generaux;0,83;;;;20190312;;;;;;;IMPORT
60;Achats;ecriture-piece-13;20190811;6064000;Fournitures administratives;;;piece-13;20180203;ABONNEMENT CYBERPLUS: Frais Generaux;4,17;;;;20190312;;;;;;;IMPORT
BQ;Banque;ecriture-piece-13;20190811;5120000;Banques;;;piece-13;20180203;ABONNEMENT CYBERPLUS: Frais Generaux;;5;;;20190312;;;;;;;IMPORT
BQ;Banque;ecriture-piece-13;20190811;4010000;Fournisseurs (compte collectif);4012000;Fournisseur Frais Généraux;piece-13;20180203;ABONNEMENT CYBERPLUS: Frais Generaux;5;;C0;20180203;20190312;;;;;;;IMPORT
60;Achats;ecriture-piece-13;20190811;4010000;Fournisseurs (compte collectif);4012000;Fournisseur Frais Généraux;piece-13;20180203;ABONNEMENT CYBERPLUS: Frais Generaux;;5;C0;20180203;20190312;;;;;;;IMPORT
60;Achats;ecriture-piece-1;20190811;4456611;TVA déductible Achats Taux 1/Factures;;;piece-1;20180206;ABON DEMAT ET PAPIER: Frais Generaux;0,2;;;;20190312;;;;;;;IMPORT
60;Achats;ecriture-piece-1;20190811;6064000;Fournitures administratives;;;piece-1;20180206;ABON DEMAT ET PAPIER: Frais Generaux;1;;;;20190312;;;;;;;IMPORT
BQ;Banque;ecriture-piece-1;20190811;5120000;Banques;;;piece-1;20180206;ABON DEMAT ET PAPIER: Frais Generaux;;1,2;;;20190312;;;;;;;IMPORT
BQ;Banque;ecriture-piece-1;20190811;4010000;Fournisseurs (compte collectif);4012000;Fournisseur Frais Généraux;piece-1;20180206;ABON DEMAT ET PAPIER: Frais Generaux;1,2;;C01;20180206;20190312;;;;;;;IMPORT
60;Achats;ecriture-piece-1;20190811;4010000;Fournisseurs (compte collectif);4012000;Fournisseur Frais Généraux;piece-1;20180206;ABON DEMAT ET PAPIER: Frais Generaux;;1,2;C01;20180206;20190312;;;;;;;IMPORT
60;Achats;ecriture-piece-14;20190811;4456611;TVA déductible Achats Taux 1/Factures;;;piece-14;20180303;ABONNEMENT CYBERPLUS: Frais Generaux;0,83;;;;20190312;;;;;;;IMPORT
60;Achats;ecriture-piece-14;20190811;6064000;Fournitures administratives;;;piece-14;20180303;ABONNEMENT CYBERPLUS: Frais Generaux;4,17;;;;20190312;;;;;;;IMPORT
BQ;Banque;ecriture-piece-14;20190811;5120000;Banques;;;piece-14;20180303;ABONNEMENT CYBERPLUS: Frais Generaux;;5;;;20190312;;;;;;;IMPORT
BQ;Banque;ecriture-piece-14;20190811;4010000;Fournisseurs (compte collectif);4012000;Fournisseur Frais Généraux;piece-14;20180303;ABONNEMENT CYBERPLUS: Frais Generaux;5;;C012;20180303;20190312;;;;;;;IMPORT
60;Achats;ecriture-piece-14;20190811;4010000;Fournisseurs (compte collectif);4012000;Fournisseur Frais Généraux;piece-14;20180303;ABONNEMENT CYBERPLUS: Frais Generaux;;5;C012;20180303;20190312;;;;;;;IMPORT
60;Achats;ecriture-piece-2;20190811;4456611;TVA déductible Achats Taux 1/Factures;;;piece-2;20180306;ABON DEMAT ET PAPIER: Frais Generaux;0,2;;;;20190312;;;;;;;IMPORT
60;Achats;ecriture-piece-2;20190811;6064000;Fournitures administratives;;;piece-2;20180306;ABON DEMAT ET PAPIER: Frais Generaux;1;;;;20190312;;;;;;;IMPORT
BQ;Banque;ecriture-piece-2;20190811;5120000;Banques;;;piece-2;20180306;ABON DEMAT ET PAPIER: Frais Generaux;;1,2;;;20190312;;;;;;;IMPORT
BQ;Banque;ecriture-piece-2;20190811;4010000;Fournisseurs (compte collectif);4012000;Fournisseur Frais Généraux;piece-2;20180306;ABON DEMAT ET PAPIER: Frais Generaux;1,2;;C0123;20180306;20190312;;;;;;;IMPORT
60;Achats;ecriture-piece-2;20190811;4010000;Fournisseurs (compte collectif);4012000;Fournisseur Frais Généraux;piece-2;20180306;ABON DEMAT ET PAPIER: Frais Generaux;;1,2;C0123;20180306;20190312;;;;;;;IMPORT
