Month;Journal;Débit Exercise;Crédit Exercise;Solde
M02;60;6.2;6.2;0
;90;1087.83;1087.83;0
;BQ;6.2;6.2;0
;XOU;16868.56;16868.56;0
M03;60;269.53;269.53;0
;BQ;269.53;269.53;0
M04;60;38.22;38.22;0
;BQ;38.22;38.22;0
M05;60;6.2;6.2;0
;BQ;6.2;6.2;0
M06;60;171.8;171.8;0
;BQ;171.8;171.8;0
M07;60;145.14;145.14;0
;90;4000;4000;0
;BQ;3345.14;3345.14;0
M08;60;8.71;8.71;0
;BQ;8.71;8.71;0
M09;60;46.25;46.25;0
;BQ;46.25;46.25;0
M10;60;588.36;588.36;0
;BQ;588.36;588.36;0
M11;60;209.1;209.1;0
;BQ;209.1;209.1;0
M12;60;326.53;326.53;0
;90;1000;1000;0
;BQ;1326.53;1326.53;0
M01;60;6.2;6.2;0
;BQ;6.2;6.2;0
