id;numero;libelle
1;1010000;Capital
2;1011000;Capital souscrit - non appelé
3;1012000;Capital souscrit, appelé, non versé
4;1013000;Capital souscrit - appelé, versé
5;1018000;Capital souscrit soumis à réglemen. particulières
6;1041000;Primes d'émission
7;1042000;Primes de fusion
8;1043000;Primes d'apport
9;1044000;Primes de conversion d'obligations en actions
10;1061000;Réserve légale
11;1062000;Réserves indisponibles
12;1063000;Réserves statutaires ou contractuelles
13;1064000;Réserves réglementées
14;1068000;Autres réserves
15;1070000;Ecart d'évaluation par équivalence
16;1080000;Compte de l'exploitant
17;1090000;Actionnaires: Capital souscrit - non appelé
18;1100000;Report à nouveau (solde créditeur)
19;1190000;Report à nouveau (solde débiteur)
20;1200000;Résultat de l'exercice (bénéfice)
21;1290000;Résultat de l'exercice (perte)
22;1310000;Subventions d'équipement
23;1380000;Autres subventions d'investissement
24;1390000;Subventions d'investissement inscrites au résultat
25;1420000;Provisions réglementées relatives aux immobilisa.
26;1430000;Provisions réglementées relatives aux stocks
27;1440000;Provi. réglem. relatives aux autres éléments actif
28;1450000;Amortissements dérogatoires
29;1460000;Provision spéciale de réévaluation
30;1470000;Plus-values réinvesties
31;1480000;Autres provisions réglementées
32;1510000;Provisions pour risques
33;1511000;Provisions pour litiges
34;1512000;Provisions pour garanties données aux clients
35;1513000;Provisions pour pertes sur marchés à terme
36;1514000;Provisions pour amendes et pénalités
37;1515000;Provisions pour pertes de change
38;1518000;Autres provisions pour risques
39;1530000;Provisions pour pensions et obligations similaires
40;1550000;Provisions pour impôts
41;1560000;Provisions pour renouvellement des immobilisations
42;1570000;Provisions pour charges s/plusieurs exercices
43;1572000;Provisions pour grosses réparations
44;1580000;Provisions pour charges
45;1582000;Provi. chges sociales et fiscales s/congés à payer
46;1610000;Emprunts obligataires convertibles
47;1630000;Autres emprunts obligataires
48;1640000;Emprunts auprès des établissements de crédit
49;1650000;Dépôts et cautionnements reçus
50;1660000;Participation des salariés aux résultats
51;1661000;Participation des salariés : comptes bloqués
52;1662000;Participation des salariés : fonds participation
53;1670000;Emprunts, dettes assortis de conditions particuli.
54;1680000;Autres emprunts et dettes assimilées
